Time	[IRS1]	[IRS1a]	[pIRS1]	[PI3K]	[pPI3K]	[PI3Ki]	[PIP2]	[PIP3]	[PDK1]	[PDK1_PIP3]	[Akt]	[Akt_PIP3]	[pAkt]	[Akti]	[TSC2]	[pTSC2]	[RagGDP]	[TSC2_Rag]	[RagGTP]	[mTORC1cyt]	[mTORC1lys]	[RhebGTP]	[pmTORC1]	[RhebGDP]	[mTORC1i]	[mTORC1ii]	[mTORC1iii]	[FourEBP1]	[pFourEBP1]	[S6K]	[pS6K]	[AMPK]	[AMPKi]	[pAMPK]	[CaMKK2]	[CaMKK2a]	[Ca2]	[PKC]	[PKCa]	[RTK]	[pRTK]	[Sos]	[pRTKa]	[pSos]	[RasGDP]	[RasGTP]	[Raf]	[pRaf]	[Mek]	[pMek]	[Erk]	[pErk]	[Meki]	[DUSPmRNA]	[DUSP]	[PLCeps]	[pPLCeps]	[IP3]	[DAG]	[IpR]	[IpRa]	[E2_cyt]	[ERa_cyt]	[ERa_E2]	[ERa_dimer]	[ERa_dimer_nuc]	[ERa_nuc]	[ERa_cyti]	[TFFmRNA]	[Greb1mRNA]	[TFF]	[Greb1]	[ProlifSignals]	[Growth]	[Immuno]	[pJak]	[Jak]	[Stat1]	[pStat1]	[pStat1_dim_cyt]	[pStat1_dim_nuc]	[IDO1mRNA]	[IDO1]	[Kyn]	[GCN2]	[GCN2a]	[eIFa]	[peIFa]	[LKB1]	[LKB1_nuc]	[Trp]	[Ulk]	[pUlk]	[Autophagy]	Values[PTEN]	Values[Fulvestrant]	Values[Rapamycin]	Values[Insulin]	Values[MK2206]	Values[AZD]	Values[EGF]	Values[Wortmannin]	Values[PMA]	Values[IGF]	Values[INFg]	Values[Feeding]	Values[E2]	Values[kIRS1Act]	Values[kIRS1Inact]	Values[kIRS1Phos]	Values[kIRS1Dephos]	Values[kPI3KPhosByIRS1a]	Values[kPI3KDephos]	Values[kPI3KPhosByIGF]	Values[kPI3KPhosByGreb1]	Values[kPI3KPhosByRas]	Values[kPIPPhos]	Values[kPIPDephos]	Values[kPDK1BindPIP3]	Values[kPDK1UnbindPIP3]	Values[kAktBindPIP3]	Values[kAktUnbindPIP3]	Values[kAktPhos]	Values[kAktDephos]	Values[kTSC2Phos]	Values[kTSC2Dephos]	Values[kTSC2BindRagGDP]	Values[kTSC2UnbindRagGDP]	Values[kRagLoad]	Values[kmTORC1CytToLys]	Values[kmTORC1LysToCyt]	Values[kmTORC1Phos]	Values[kmTORC1Dephos]	Values[kRhebLoad]	Values[kRhebUnload]	Values[k4EBP1Phos]	Values[k4EBP1Dephos]	Values[kS6KPhos]	Values[kS6KDehos]	Values[kAMPKInhibByAkt]	Values[kAMPKDephos]	Values[kAMPKPhosByLKB1]	Values[kAMPKPhosByCaMKK2a]	Values[kAMPKInact]	Values[kLKB1ToCyt]	Values[kLKB1ToNuc]	Values[kCaMKK2Act]	Values[kCaMKK2Inact]	Values[kUlkPhos]	Values[kUlkDephos]	Values[kAutophagyIn]	Values[kAutophagyOut]	Values[kPKCAct]	Values[kPKCActByPMA]	Values[kPKCInact]	Values[kTKRBindEGF]	Values[kTKRUnbindEGF]	Values[kTKRBindSOS]	Values[kTKRUnbindSOS]	Values[kSOSPhos]	Values[kSOSDephos]	Values[kRasLoadByRTK]	Values[kRasLoadByPKC]	Values[kRasUnload]	Values[kRafPhos]	Values[kRafDephos]	Values[kRafDephosByAkt]	Values[kMekPhos]	Values[kMekDephos]	Values[kErkPhos]	Values[kErkDephos]	Values[kDUSPmRNAIn]	Values[kDUSPmRNAOut]	Values[kDUSPIn]	Values[kDUSPOut]	Values[kPLCPhos]	Values[kPLCPhosBasal]	Values[kPLCDephos]	Values[kPIP2Break]	Values[kPIP2form]	Values[kIP3BindIpR]	Values[kIP3UnbindIpR]	Values[kCa2In]	Values[kCa2Out]	Values[kE2ToCyt]	Values[kE2CytToEx]	Values[kE2BindER]	Values[kE2UnbindER]	Values[kERDim]	Values[kERUndim]	Values[kERCytToNuc]	Values[kERNucToCyt]	Values[kERDimUnbind]	Values[kERDimBind]	Values[kTFFmRNAIn]	Values[kTFFmRNAOut]	Values[kGreb1mRNAIn]	Values[kGreb1mRNAOut]	Values[kTFFIn]	Values[kTFFOut]	Values[kGreb1In]	Values[kGreb1Out]	Values[kProlifSignalIn]	Values[kProlifSignalOut]	Values[kGrowthBasal]	Values[kGrowthActive]	Values[kGrowthInhibBasal]	Values[kGrowthInhibActive]	Values[kImmunoInBasal]	Values[kImmunoInActive]	Values[kImmunoOut]	Values[kJakPhos]	Values[kJakDephos]	Values[kStat1Phos]	Values[kStat1Dephos]	Values[kStat1Dim]	Values[kStat1Undim]	Values[kStat1DimToNuc]	Values[kStat1DimToCyt]	Values[kIDO1mRNAIn]	Values[kIDO1mRNAOut]	Values[kIDO1In]	Values[kIDO1Out]	Values[kAAToKyn]	Values[kKynToAA]	Values[kAAIn]	Values[kAAOut]	Values[kGCN2Act]	Values[kGCN2Inact]	Values[keIFaPhos]	Values[keIFaDephos]	Values[kAASuffIn]	Values[kAASuffOut]	Values[kPI3KBindWort]	Values[kPI3KUnbindWort]	Values[kMekBindAZD]	Values[kMekUnbindAZD]	Values[kmTORC1BindRapa]	Values[kAktUnbindMK]	Values[kmTORC1UnbindRapa]	Values[kERaBindFulv]	Values[kERaUnbindFulv]	Values[kTrpIn]	Values[kTrpOut]	Values[kAktBindMK]
0	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0	0	10	0	0	0	10	0	10	0	10	0	0	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	10	0	10	0	10	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.01	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.0099452	0	9.99005	0	0	0	10	0	10	0	9.9005	0	0.0995017	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	9.995e-05	0.0009995	0	10	10	0	0	0	0	0	0	9.99	0.009995	9.99975	0.00024983	10	0	0	9.9995	0.000498159	1.66165e-07	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.02	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.0197816	0	9.98022	0	0	0	10	0	10	0	9.80199	0	0.198013	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.0001998	0.001998	0	10	10	0	0	0	0	0	0	9.98002	0.01998	9.999	0.000998618	10	0	0	9.99801	0.00198521	1.32529e-06	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.03	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.0295104	0	9.97049	0	0	0	10	0	10	0	9.70446	0	0.295545	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.00029955	0.0029955	0	10	10	0	0	0	0	0	0	9.97004	0.029955	9.99775	0.00224525	10	0	0	9.99555	0.00444988	4.45915e-06	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.04	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.0391328	0	9.96087	0	0	0	10	0	10	0	9.60789	0	0.392106	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.000399199	0.00399201	0	10	10	0	0	0	0	0	0	9.96008	0.0399201	9.99601	0.00398855	10	0	0	9.99212	0.00788073	1.05372e-05	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.05	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.0486499	0	9.95135	0	0	0	10	0	10	0	9.51229	0	0.487706	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.000498748	0.00498752	0	10	10	0	0	0	0	0	0	9.95012	0.0498752	9.99377	0.00622726	10	0	0	9.98773	0.0122662	2.05164e-05	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.06	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.0580629	0	9.94194	0	0	0	10	0	10	0	9.41765	0	0.582355	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.000598196	0.00598204	0	10	10	0	0	0	0	0	0	9.94018	0.0598204	9.99104	0.00896006	10	0	0	9.98241	0.0175944	3.53412e-05	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.07	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.0673729	0	9.93263	0	0	0	10	0	10	0	9.32394	0	0.676062	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.000697544	0.00697556	0	10	10	0	0	0	0	0	0	9.93024	0.0697556	9.98781	0.0121855	10	0	0	9.97615	0.0238536	5.5943e-05	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.08	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.076581	0	9.92342	0	0	0	10	0	10	0	9.23116	0	0.768837	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.000796792	0.00796809	0	10	10	0	0	0	0	0	0	9.92032	0.0796809	9.9841	0.0159022	10	0	0	9.96897	0.0310317	8.32405e-05	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.09	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.0856884	0	9.91431	0	0	0	10	0	10	0	9.13931	0	0.860688	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.000895938	0.00895962	0	10	10	0	0	0	0	0	0	9.9104	0.0895962	9.97989	0.0201086	10	0	0	9.96088	0.0391165	0.000118139	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.1	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.0946962	0	9.9053	0	0	0	10	0	10	0	9.04837	0	0.951626	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.000994984	0.00995017	0	10	10	0	0	0	0	0	0	9.9005	0.0995017	9.9752	0.0248031	10	0	0	9.9519	0.0480957	0.000161532	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.11	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.103605	0	9.89639	0	0	0	10	0	10	0	8.95834	0	1.04166	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.00109393	0.0109397	0	10	10	0	0	0	0	0	0	9.8906	0.109397	9.97002	0.0299839	10	0	0	9.94204	0.0579571	0.000214299	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.12	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.112417	0	9.88758	0	0	0	10	0	10	0	8.8692	0	1.1308	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.00119277	0.0119283	0	10	10	0	0	0	0	0	0	9.88072	0.119283	9.96435	0.0356494	10	0	0	9.93131	0.0686881	0.000277305	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
0.13	10	0	0	10	0	0	10	0	10	0	10	0	0	0	0	0	10	10	0	10	0	0.121133	0	9.87887	0	0	0	10	0	10	0	8.78095	0	1.21905	10	0	0	10	0	10	0	10	0	0	10	0	10	0	10	0	10	0	0	0	0	10	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0.00129151	0.0129159	0	10	10	0	0	0	0	0	0	9.87084	0.129159	9.9582	0.0417978	10	0	0	9.91972	0.0802761	0.000351402	10	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0.1	0.01	0.1	0.1	0.01	10	0.1	1	0.1	0.1	0.1	0.5	0.1	0.1	0.1	100	0.1	100	0.1	100	0.1	0.1	100	0.1	0.3	0.1	100
